what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.ui",1417411750921
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1417411750953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411755196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411755398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411843689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411843908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1417411888053
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1417411888069
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/st2",1417411888069
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1417411888100
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/st2",1417411888100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411899830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411900064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411916381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411916584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411930046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411930264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411988043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417411988277
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1417412017182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1417412018087
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1417412021769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412054230
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412070563
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412070578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412070594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1417412070625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412082933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412083947
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1417412087846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1417412089359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412095038
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1417412097097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412097143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1417412097159
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412111963
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1417412115176
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412115379
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1417412116393
opened,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412126766
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412126782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417412134004
activated,editor,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1417412143566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417412146592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412157574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417412157777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417412620616
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417412625202
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1417412725676
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417412733866
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1417412735753
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1417412756562
