127.0.0.1 - - [26/Nov/2014:17:43:57 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/mystyle.css HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/struts/dojo/dojo.js HTTP/1.1" 200 264920
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/struts/simple/dojoRequire.js HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/struts/dojo/src/debug.js HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/struts/dojo/src/browser_debug.js HTTP/1.1" 200 4874
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/undefinedsrc/debug.js HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/undefinedsrc/browser_debug.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:00 +0530] "GET /ui/struts/optiontransferselect.js HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:01 +0530] "GET /ui/generalinformation.jsp HTTP/1.1" 200 6879
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:21 +0530] "GET /ui/index.jsp HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:23 +0530] "GET /ui/PersonalInformation.jsp HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/mystyle.css HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/DatePicker.js HTTP/1.1" 200 17525
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/date/common.js HTTP/1.1" 200 15042
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/date/format.js HTTP/1.1" 200 30158
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/date/supplemental.js HTTP/1.1" 200 2834
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/common.js HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/calendar/nls/gregorian.js HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/calendar/nls/en/gregorian.js HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/calendar/nls/en-us/gregorian.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/calendar/nls/gregorianExtras.js HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/calendar/nls/en/gregorianExtras.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/i18n/calendar/nls/en-us/gregorianExtras.js HTTP/1.1" 404 952
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/date/serialize.js HTTP/1.1" 200 5775
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/personalinformation.jsp HTTP/1.1" 200 6292
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/templates/images/tab_close.gif HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/namespaces/dojo.js HTTP/1.1" 200 6683
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/DropdownDatePicker.js HTTP/1.1" 200 8693
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/DropdownContainer.js HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/PopupContainer.js HTTP/1.1" 200 14011
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/nls/DropdownDatePicker.js HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [26/Nov/2014:17:44:33 +0530] "GET /ui/struts/dojo/src/widget/nls/en/DropdownDatePicker.js HTTP/1.1" 404 952
