what,kind,bundleId,bundleVersion,description,time
error,log,,,"IWAE0027E Could not retrieve the validation configuration for resource GmailLogin.",1440732565368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732588997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732596545
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1440732610354
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/GmailLogin",1440732610361
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732610395
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1440732610422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1440732610422
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732610565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732615188
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1440732622989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732623806
error,log,,,"Core exception while retrieving the content description",1440732625791
error,log,,,"Core exception while retrieving the content description",1440732625797
error,log,,,"Core exception while retrieving the content description",1440732625803
error,log,,,"Core exception while retrieving the content description",1440732625810
error,log,,,"Core exception while retrieving the content description",1440732625816
error,log,,,"Core exception while retrieving the content description",1440732625831
error,log,,,"Core exception while retrieving the content description",1440732625838
error,log,,,"Core exception while retrieving the content description",1440732625844
error,log,,,"Core exception while retrieving the content description",1440732625851
error,log,,,"Core exception while retrieving the content description",1440732625857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732627909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732632251
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1440732632259
closed,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1440732632269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732632298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1440732634594
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1440732634601
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1440732634601
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1440732634636
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1440732634636
