127.0.0.1 - - [25/Aug/2015:08:01:18 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:01:19 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:01:49 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:01:49 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:08:53 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:09:17 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:11:47 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:12:38 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:17:50 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:18:51 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:21:37 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:21:37 +0530] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:21:45 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:25:40 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:25:45 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:25:45 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:25:46 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:26:07 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:28:29 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:30:14 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 661
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:30:17 +0530] "GET /advancedJava/login.html HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:30:27 +0530] "GET /advancedJava/login.html HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:30:29 +0530] "GET /advancedJava/login.html HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:30:32 +0530] "GET /advancedJava/register.html HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:30:59 +0530] "GET /advancedJava/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:32:00 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [25/Aug/2015:08:33:28 +0530] "GET /advancedJava/home.html HTTP/1.1" 200 633
